referral_id|taxonomy_to_find|to_feed_to_algo|recommended_cluster_labels|correct_labels|cluster_order|recommendation_time
82624739|NL-5000.2600|['DD-1500.7230-600']|[(61,), (None,), (96,), (43,), (40,)]|False|-1|0:00:00.048917
69276704|BD-5000.8300|['BD-5000.1470', 'BH-1800.3500', 'BH-1800.3500', 'BD-1800.2000']|[(10,), (37,), (None,), (93,), (67,)]|False|-1|0:00:00.240105
69006566|BH-8400.3000|['BH-3900.3100', 'BD-5000.1470 * YB-9500']|[(67,), (37,), (31,), (40,), (10,)]|True|0|0:00:00.471086
77895396|TD-1200.6600-600|['TD-1200.6600-600', 'TD-1600.3200']|[(37,), (10,), (None,), (41,), (67,)]|True|3|0:00:00.104063
72447991|NS-1900 * YF-3000.2193|['DF-8000.4500', 'NS-1900', 'NT-8900 * YF-3000.2193']|[(110,), (8,), (142,), (None,), (67,)]|False|-1|0:00:00.112691
64219628|PH-1450.6000 * YT-2400|['PH-1450.6000']|[(67,), (30,), (153,), (31,), (80,)]|True|3|0:00:00.375627
61623159|PL-7400.1500 * YE-3500|['FT-1020 * YE-3500', 'ND-2000.1500-160 * YL-3500.3300']|[(30,), (153,), (80,), (125,), (67,)]|True|0|0:00:00.116307
63073140|BM-6500.1500-250|['BM-6500.1500-250 * YK-6500.4900']|[]|False|-1|0:00:00.016745
62664968|LN-1500|['LN-1500', 'PH-0320 * YB-8000', 'PH-0320 * YB-8000', 'LE * YJ-8800', 'LE * YJ-8800', 'LE * YJ-8800', 'BH-8400.3000', 'BH-8400.3000', 'BD-5000.8300', 'BD-5000.8300', 'BM-6500.6500-250 * YH-6000.3280', 'LE * YV-3000', 'LE * YV-3000', 'LE * YV-3000', 'LE * YV-3000', 'BH-3900.3100 * YV-3000', 'BH-3900.3100 * YV-3000', 'BH-3900.3100 * YV-3000']|[(67,), (137,), (49,), (None,), (195,)]|True|1|0:00:00.366011
80556014|FT-4500.8550|['FV-1400', 'FT-4500.8500']|[(67,), (182,), (101,), (125,), (None,)]|True|0|0:00:00.395341
74354226|BH-3900.3100|['BH-7000.4600', 'BH-7000.4600', 'TJ-3000.8000 * YZ-3150']|[(67,), (40,), (5,), (None,), (13,)]|True|0|0:00:00.357171
68303364|PH-2950.1500|['NT-2500']|[(41,), (179,), (37,), (None,), (20,)]|True|2|0:00:00.066459
60023370|BH-3900.3100|['DD-2100.1000', 'BH-7000.4600', 'FT-1070']|[(67,), (31,), (5,), (None,), (153,)]|True|0|0:00:00.295802
73194463|NT-8900 * YF-3000.2193|['ND-1500', 'ND-1500']|[(153,), (80,), (136,), (67,), (None,)]|False|-1|0:00:00.083434
64514155|FC-1300.6500-250|['FF-0500.1800-050', 'RX-8450.7000 * YS-2000.9500']|[(125,), (96,), (59,), (None,), (31,)]|True|0|0:00:00.055334
82631200|PH-3300.6500|['JP-6500.1500 * YF-5000.3300-220', 'LT-2800', 'TJ-3000.1500', 'PH-1000', 'PH-3300.3000', 'PH-3300.3000', 'PH-3300.3100']|[(67,), (137,), (195,), (49,), (None,)]|True|2|0:00:00.386375
78120194|LN-9300|['LN-9300', 'TJ-3200.5000']|[(35,), (9,), (19,), (126,), (40,)]|True|2|0:00:00.057591
81091636|BD-1800.2000 * YF-3000.2193|['BD-1800.2000']|[(10,), (37,), (None,), (67,), (137,)]|False|-1|0:00:00.213786
